formula,number,band_gap
Rb2NaMoBr6,1,1.4757000000000007
Rb2NaIrBr6,1,1.404644000000001
Rb2KIrBr6,1,1.4094810000000007
Rb2AgTiBr6,1,1.1295270000000004
Rb2AgMoBr6,1,0.6470619999999994
Rb2AgIrBr6,1,1.0292899999999992
Rb2TlPBr6,1,1.250448999999998
Rb2TlAsBr6,1,1.2057999999999973
Ag2LiErF6,1,1.0079380000000002
Ag2LiTmF6,1,1.0139200000000006
Ag2NaTmF6,1,1.0117180000000006
Cs2LiAuF6,1,0.529800000000001
Cs2NaMoBr6,1,1.4442999999999986
Cs2NaIrBr6,1,1.4513750000000005
Cs2NaAuF6,1,0.6261999999999989
Cs2KMnI6,1,0.6337749999999999
Cs2KMoI6,1,1.452699999999996
Cs2KIrBr6,1,1.4624750000000009
Cs2KIrI6,1,0.9127449999999995
Cs2RbMnI6,1,0.6344249999999999
Cs2RbGaI6,1,0.9753000000000007
Cs2RbIrBr6,1,1.4624750000000009
Cs2AgTiBr6,1,1.134821
Cs2AgMoBr6,1,0.5337000000000011
Cs2AgIrBr6,1,1.024874999999999
Cs2TlPBr6,1,1.400882000000002
Cs2TlTiBr6,1,1.277852
Cs2TlTiI6,1,0.897337
Cs2TlMnBr6,1,0.8254680000000002
Cs2TlAsBr6,1,1.3050000000000035
Cs2TlAsI6,1,1.0045999999999997
Cs2TlNbCl6,1,1.185204
Cs2TlNbBr6,1,1.044499
Cs2TlMoI6,1,1.173713999999999
Cs2TlSbBr6,1,1.229399999999999
Tl2LiBiBr6,1,0.5730489999999997
Tl2LiLaBr6,1,1.481769
Tl2LiCeBr6,1,1.1879529999999991
Tl2NaGaCl6,1,1.440706
Tl2NaAsCl6,1,1.2443389999999999
Tl2NaYBr6,1,1.4632039999999997
Tl2NaNbBr6,1,1.0893969999999995
Tl2NaMoCl6,1,1.4314019999999998
Tl2NaMoBr6,1,0.9713649999999996
Tl2NaInCl6,1,1.4631310000000002
Tl2NaInBr6,1,1.057744
Tl2NaSbCl6,1,1.226058
Tl2NaSbBr6,1,0.763616
Tl2NaTaCl6,1,1.2756909999999992
Tl2NaTaBr6,1,0.9771779999999997
Tl2NaBiCl6,1,0.8930789999999998
Tl2NaEuBr6,1,1.2745599999999995
Tl2NaErBr6,1,1.4477250000000002
Tl2NaTmBr6,1,1.406888
Tl2NaLuCl6,1,1.465479000000001
Tl2KAlCl6,1,1.4273480000000003
Tl2KAlBr6,1,1.165706999999999
Tl2KPBr6,1,1.1929659999999997
Tl2KVBr6,1,1.0643859999999996
Tl2KCrBr6,1,1.1297469999999996
Tl2KGaCl6,1,1.3942580000000002
Tl2KGaBr6,1,1.1198469999999991
Tl2KAsCl6,1,1.3316839999999996
Tl2KAsBr6,1,0.9554620000000001
Tl2KMoCl6,1,1.488089
Tl2KInCl6,1,1.440531000000001
Tl2KTaCl6,1,1.2591109999999996
Tl2RbBBr6,1,1.0735099999999993
Tl2RbNCl6,1,1.3797959999999996
Tl2RbAlCl6,1,1.4273480000000003
Tl2RbPBr6,1,1.198219
Tl2RbGaCl6,1,1.3942580000000002
Tl2RbAsCl6,1,1.3316839999999996
Tl2CsBBr6,1,1.1193069999999992
Tl2CsNCl6,1,1.3795189999999995
Tl2CsNBr6,1,1.2445759999999995
K2BePtF6,2,0.5923059999999996
K2TiCdCl6,2,1.382127
K2VHgF6,2,0.6426999999999993
K2NiAgCl6,2,0.6873040000000001
K2GePbCl6,2,1.2788639999999991
Rb2BePtF6,2,0.5962679999999996
Rb2BeCeBr6,2,1.1466090000000009
Rb2CaVBr6,2,0.646217
Rb2CaCrBr6,2,1.1342920000000012
Rb2CaNbBr6,2,0.9754000000000005
Rb2ScVBr6,2,0.668516
Rb2ScCrBr6,2,1.1836520000000008
Rb2ScMnBr6,2,0.8692999999999997
Rb2ScNbBr6,2,1.0546410000000002
Rb2TiNbBr6,2,1.113305
Rb2TiPdBr6,2,0.8248700000000003
Rb2TiCdCl6,2,1.3964390000000002
Rb2VNbBr6,2,1.1237199999999996
Rb2VPbBr6,2,1.3935579999999999
Rb2VCeBr6,2,1.0636270000000005
Rb2CrNbBr6,2,0.716037
Rb2CrSnBr6,2,1.2329169999999998
Rb2CrPbBr6,2,0.8110349999999993
Rb2CrCeBr6,2,0.9972870000000004
Rb2NiAgCl6,2,0.8355359999999997
Rb2NiCeBr6,2,1.153978
Rb2GePbCl6,2,1.290672999999999
Rb2GePbBr6,2,1.1871469999999993
Rb2GeCeBr6,2,1.0103810000000006
Rb2YNbBr6,2,1.0754000000000001
Rb2NbSnBr6,2,1.2447799999999998
Rb2NbPbCl6,2,1.263169
Rb2InSnBr6,2,1.3782809999999994
Rb2InPbCl6,2,1.261552
Rb2SnPbCl6,2,1.1411699999999996
Cs2BePtF6,2,0.6000089999999997
Cs2MgNbBr6,2,0.8849550000000004
Cs2CaVBr6,2,0.6720360000000001
Cs2CaCrBr6,2,1.1840770000000007
Cs2CaNbBr6,2,0.9172070000000003
Cs2CaInI6,2,0.8341069999999997
Cs2ScVBr6,2,0.6657980000000001
Cs2ScCrBr6,2,1.2167410000000003
Cs2ScMnBr6,2,0.7327609999999998
Cs2ScNbBr6,2,1.0089110000000003
Cs2TiVBr6,2,0.7354260000000001
Cs2TiCrBr6,2,1.1461869999999996
Cs2TiMnBr6,2,0.8010010000000001
Cs2TiNbBr6,2,1.046532
Cs2TiPdBr6,2,0.8783000000000003
Cs2TiPbI6,2,1.2865929999999994
Cs2TiEuI6,2,1.4256110000000002
Cs2VNbBr6,2,1.0506199999999994
Cs2VPbBr6,2,1.3914980000000003
Cs2VPbI6,2,1.1856949999999995
Cs2VLaI6,2,1.4303410000000003
Cs2CrNbBr6,2,0.679886
Cs2CrSnBr6,2,1.2412429999999999
Cs2CrPbBr6,2,0.8545869999999993
Cs2CrPbI6,2,0.5690810000000003
Cs2MnLaI6,2,1.4596940000000003
Cs2MnEuI6,2,1.2647099999999991
Cs2NiNbCl6,2,0.924351
Cs2ZnNbBr6,2,0.873664
Cs2GeNbBr6,2,0.778494
Cs2GePbCl6,2,1.3115759999999992
Cs2GePbBr6,2,1.1904659999999994
Cs2SrNbI6,2,0.8278090000000005
Cs2SrInI6,2,0.8846569999999996
Cs2YNbBr6,2,1.0176000000000003
Cs2NbSnBr6,2,1.259426
Cs2NbPbCl6,2,1.3253379999999997
Cs2NbPbBr6,2,0.8788009999999993
Cs2InSnBr6,2,1.3517149999999998
Cs2InSnI6,2,0.8608359999999999
Cs2InPbCl6,2,1.3448859999999994
Cs2InPbBr6,2,1.0543499999999995
Cs2InPbI6,2,0.8435769999999998
Cs2SnPbCl6,2,1.1652549999999993
Cs2SnPbBr6,2,1.0503209999999994
Tl2CaScBr6,2,1.205033999999999
Tl2CaTiBr6,2,1.2476669999999992
Tl2CaVBr6,2,1.1606039999999993
Tl2CaCrBr6,2,1.1668229999999995
Tl2CaGeBr6,2,0.9363879999999998
Tl2CaNbBr6,2,1.1612359999999995
Tl2CaTmBr6,2,1.4112469999999997
